hatespeech,index
احلى احلى,0
احلى احلى ابتسامة طفولي عيشوشة البشوشة احلى بنوتة يخليكي ومايحرمناش ضحكتك,0
احلى احلى التاسعة,0
احلى احلى عاجبو يعاونا بسكاتو,0
احلى اقوى معجبوش ميتفرجش نستنى,0
احلى الانتظار,0
احلى بالي,0
احلى بالي وااااصل,0
احلى برجي نجاحات,0
احلى تحية طيبة للاستاذ مغربية مقيمة باسبانيا,0
احلى تحية وتقدير,0
احلى جعفور,0
احلى جعفور احلي تلقائية احلي متميز للقلب,0
احلى خلفة مايقولو المصريين بناتو ميمتهم ربات,0
احلى خوااااات فيرومو,0
احلى رحمة خالي امانك بربى قدير رحمة عسلة وردة مفتحا يفرج اجمعين,0
احلى زينة نشاله نستناوك فالانشيد,0
احلى سيتكوم,0
احلى سيتكوم وشاخ يدز ههههههه,0
احلى شيبة,0
احلى صرم,1
احلى فلة,0
احلى فوزيات وفوزي الرويسي وفوزي البنزرتب,0
احلى كوميدى فى,0
احلى لاحلى بنوتة عسولة,0
احلى متالق,0
احلى محلى ضحكتها برسمي اناقه عقوليه وتربيه راجلها خذا,0
احلى محلى ضحكتها برسمي اناقه عقوليه وتربيه وزين,0
احلى منورين منورين منورين,0
احلى مورو,0
احلى نشاله بحبك مووووت,0
احلى نووووووووووووووووفل العاملين نحبكم برشششششششششششة,0
احلى هشام الخلصي رجعتنا لزمان الخظاب,0
احلى واحلى,0
احلي,0
احلي اتقنت ينبغي وتقمست بشكل يعالج تقاسي طرحك اقسي بالنسبة لمراة عاتق مسؤولة كتن امجرب,0
احلي الاربع وارضا,1
احلي الاربع وارضا اختفو الرخيصة,1
احلي تحياتي الخظراء ولى,0
احلي تونسيلة,0
احلي جعفور وله فرهتنا,0
احلي حوار,0
احلي منقلك,0
احلي منقلك رضاية الوالدين,0
احلی نجلاء,0
احمدوا فمنذ ولاني يزركم الطاعون يجيئكم,0
احملة نتواصلة,1
احمى,0
احمي,0
احمي العالمين,0
احمي حفض الكرونا يشفي العالمين,0
احمينا,0
احمينا واحمي جمعاء,0
احناكنالرجالمنخذوشىلكنبرشاطحانايخذ,1
احنبع,1
احنبعل,1
احوال,1
احوال هالحيوان طاولة,1
احول,1
احيك,0
احيك قدرتك احيك صمودك احيك خوفك شعبك احيك وطنيتك,0
احيك لبلادكهوربي,0
احييك,0
اخاف,1
اخبار,0
اخبار تاجيل بالمداخيل والادايات,0
اخبار لحقيق قلتو,0
اختارت اقتصاد,0
اختبار علاج ناجع,0
اختفو,1
اختلاط باليهود,0
اختها مسقطها اختها تستاهل,1
اخخخ تفووووووه هالرهط,1
اخخخ ميحشم,1
اخخخخخخخخخخخخخخ تففففففففففففففففففففففففففففففففففففففففف,1
اخخه,1
اخذت وابعدت ابني اغالي,0
اخرة,0
اخرتها متشرد طحان لاكبر المليارات وهرب وخلالنا طحانة مربيهم عالرخص والذل يربي,1
اخرجو اضحوك والاسلامية,1
اخز يز,1
اخس والعنهم اقرفهم,1
اخساره وصلنا لمستويات منحطه شوارع حرمتنا يزونا قالك وابداع,1
اخش,1
اخضاع,0
اخضاع شخصا لحجر,0
اخطاك زب,1
اخطاكم دخلوش تفدليكم الماسط قدركم,1
اخطونا البلطوات جيوبكم اعاون,0
اخلاقكم سد خطاكم,0
اخلاقه عالية ويحترم ضيوفه اخلاقيات المهنةواحترام الضيوف واحترام المتفرجين نفهم محتوى,0
اخلاقها راكزة المثلات,0
اخلاقية الوقاحة تشكوك لقلة,1
اخلاقية عايلات تلوجوا عالبوووز بدون,1
اخليك لولداتك,0
اخليك لولداتك الهمحلا,0
اخمييييييج قانت,1
اخه,1
اخو,1
اخواتكم واولاد عمكم عربان الخليج مايرجعولكومش ومليارات الدولارات الموجودة بنوك كولوا يامسلمين ياعروبين ياطحانة الفلسطين,1
اخوانك اجرين بفينا,0
اخواني يظهر,1
اخوة,0
اخوة الانسانية عيال,0
اخيب,1
اخيب قانت,1
اخيب لابسته,1
اخيب ماتمثلنيش,1
اخيب موضوع,1
اخيب موماثل,1
اخيب وخاصة بالمناسبة قرات نعاودالتوجيه للجامعةاللي قرات,1
اخيكم,1
اخينا الهطيف تكهو اتقانك المجالات بينة قدوراتك رئاسة رئاسة الاحترام,0
اخييييت ممستو,1
اخييييييييييييت ممستو,1
اداء رائع ابداااع حقيقة,0
اداء رائع ابداع حقيقة,0
اداب مستواه,0
ادام,1
ادامك والرجال قليلون,0
ادجيب فالماسط والجبري,1
ادخلولنا يزيوا,0
ادري اختيارها للحضور افكارها وفاقد الشيئ لايعطيه,1
ادعوا ربكم تضرعا وخفية المعتدين,0
ادعوك الاكتراث ينعق بالفوبيا,0
ادعيو لربي,0
ادلك ثنية,0
ادم تذكر حجمكهوتذكر قدرة واستغفروا,0
ادمين,0
ادهنوه بكعبة مايولي قداشو ماسط,1
ادوار التقفيف والتلحيس والصبة وحتى جبان ولحاس,1
ادوار كوميدية درامية,0
ادواق,1
ادور,0
اديك الحسن,0
اذبحوها,1
اذكرو مصدر الهي الاهذاعة,0
اذن,1
اذهب الاغبياء,1
اذهب الجحيم ايها الابله,1
اذهب وهف يهزك عاملك قيمة حقوق يحقلك يحكلك الفلفل فماشي خسرت طهارة تاخذنا السفهاء,1
ارادة ارادة شعبك,1
اراك ابك,1
اراك الاخارجيا تكفيريا,1
اربة واختراق لقانون,0
اربين,0
ارتاح,0
ارتاح مرضوا يالطيف,0
ارتح ذنب,0
ارتحهم ذنب,0
ارتفاع الوفيات شخصا,0
ارتقيو وجوه,1
ارجال,0
ارجال ثقافة,0
ارجعي توحشتك كليم محلك,0
ارجو,1
ارجو باجراءا,1
ارجو سيادتكم تشجيع الناشئة الاختبارات السريرية لتحقيق الاكتفاء صناعة نحتاج وتكلف الضرائب عملة الحاجة,0
ارجولي,0
ارحلات,1
ارحمان,1
ارحمنا,0
ارحمنا برحمتك ارحم الراحمين,0
ارخس مارتش,1
ارخص,1
ارخص ارتست,1
ارخص بتاع نقولو تيت,1
ارخص بتاع نقولو تيييييييييت,1
ارخص ياكلب,1
ارد فورا,0
اردتم نجاح ارفاق بحزمۃ قرارات معيشۃ توفير الغهذاء الجوعان يصبر نصيحۃ,0
ارسال بنجاح,0
ارضا اسيادك لدعار,1
ارضعالي زبي,1
ارضعلي زبي قحبة,1
ارفع,0
ارفع الغمة,0
ارفع القبعة احتراما الفاضل المجاهد مليون تحية ايها,0
ارفع القبعة احتراما الفاضل مليون تحية,0
ارفع نسالك الهطف قضاءكربي مرضانا ارحم موتانا احفظنا سوء ارحم الراحمين,0
ارقد ياصمير,1
ارقى اناقة ثقافة,0
ارقى ؤلاء,0
ارمز ريتش,1
ارمستا,0
ارمستا فووووووور,0
ارن,1
ارهابي,1
ارهابي يتحاكم بيناتهم متطرفين,1
ارواح,0
اروع اتوانسة الجائزة,0
اروع حقيقة المعاناة اكتشفت,0
اروعك,0
اروعكهول امعلم,0
ارووووع الحلقات اروووع نجوووم احلي وردة ريم رياحي نورتنا بجمالها وانقتها وكلامها روووووعة كليك بعضيك حلووووو,0
ارى فائدة يهمه المواطنولا مصلحته توعيته يخصه يهمخا الاثارة وكيف تغنم الكثير الاموال حساب وخراب اولادها,1
اريد اقول المعجبين اتمنى توفق مسيرتك,0
ازب,1
ازبالة,1
ازبرت,0
ازبي,1
ازدواجية,1
ازل,1
ازلللللللللللع,1
ازمة الكورونة جديدة والبحث تمويلات وموارد جديدة لفائدة القطاع والتشجيع تصنيع الطبية بمختلف ودعم البحث لانو ثروة البلدان الحقيقية لانو يعاونكهوقت الشدة,0
ازمت الكرونا اثبت بالكاشف البلدان مقارنة فالمنظومة نتسماو صامدين مازلنا واقفين بشجاعة رغم استسلام منب بثقافت ونتبعو علعمياني الهذي,0
ازنوس يتحملوا يختاروا يبعدو الحسابات الفارغة اقتصاد مبلغ حداش السلامة لتونسين حماية,0
ازواولة,0
ازوزة واملا,1
ازيد,1
ازين بنية,0
اسءلة,1
اسابيع مصيرية ترة,0
اساس,1
اسال العرش يرفع,0
اسال عاونو طريقة,0
اسبانيا المانيا باصاب ٪ ايران امريكا احبائك فايا والاسلامي اضع واطفا فاعطان,1
استءصالي وتافه يحقد ويستهزء بشكيب,1
استءصالي وتافه يحقد ويستهزء بشكيب ومدام زغلامي محترمينو اكن الشء اتاه,1
استاذ,1
استاذ تحسن,0
استاذ لتط الفنى,0
استاذ لتطهير الفنى هالاشكال,0
استاذة اسكن ريفا ارياف حفوز ابني يعاني التنفس يستوجب اسعافا اطلب اضطرني ساصبح مسؤولة اعرض الاطار لخطر,0
استاذة حنانة وخيتي واااع,1
استاذة خيرة الاساتذة الموجودين كلية الحقوق بصفاقساستاذة عظيمةبرافووو,0
استاذة مقاييس قراتنى فى دروا وكانت شخصية قوية وفارضة,0
استبيان عربية يتكتب بالغة الفرنسية مستعمرات السوداء,1
استدعاه سعده والمسلمين حسبنا,1
استرتجيا اوزرت,0
استرن,1
استرنا,0
استرنا ارحمنا برحمتك,0
استرنا وتحت ويوم العرض,0
استري,1
استري بايا ومرة معارية كتفها,1
استشفائي,1
استضافتك للنجمه المتالقة ملكة الاحساس ميساء الماجري محبوبة الجماهير,0
استضافتك لنجم المتالقة ملكة الاحساس ميساء الماجري محبوبة,0
استط,1
استعدوا لكارثة خاطركم بارواحكم غيركم,0
استعمال لقاح الرئوي عفانا وعافاكم لتلقيح,0
استعمال لكمامات التذكير بتحذير المختصين سوء استعمال الكمامات,0
استغفر,1
استغفر القيوم واتوب ورضا وزنة عرش ومداد,0
استغفر مسلسلة قعدولنا الانس عفانا عفاكم,1
استغفر نشاله يسمحنا ولله علامات يمد خيييييت عيفتوني ياعاهرة ياعار تڨعدي وهف يهزك,1
استغفرو ربكم تواب العفو الشافي,0
استغلها عادت قادرة ديرلو فيلم نستنتج انها,1
استفاد,1
استقبا,1
استكوم شبعة,0
استنتجت اغبى ڨاع بعزيز زبي,1
استنو ايامات تاو محبيتوش دشدو,0
استهتار,0
استهتار وملا حرفة,1
اسد البلاطوات,0
اسد قطيع,1
اسرائيل,1
اسركم احبابي وبلدنا باذن,0
اسطه لاسطه,1
اسعاف,1
اسعدو فالكم موم منكد,0
اسعوا لطرح الزكاة النجاة البرلمان,0
اسفي قمة الجهل يتناقش موضوع كيما ماللخر الشيء منافي للاخلاق شئتم ابيتم الاطراف المعنية تتدخل توقف المسخرة دولتنا,1
اسفي يتحدث مثلي تتحدث عاهره,1
اسقط انذل التمثيل الانسانية بداخله كره حقد ايديلوجي,1
اسقط ماريتش المسيح احترمو ديانتنا يفطروش لخمج تتفكرو,1
اسقط واتفه واغبى طحان وصباب ومريييييييييض زاااايد الحجرة ماتذوب مايتوب,1
اسقط وارذل حزب,1
اسقط وامساح مشفت,1
اسكت,1
اسكت عاهرة,1
اسكت وهف يهزك,1
اسلك طريقك سد وطنا,0
اسلوب قالك نقيب يقزم,1
اسلوبها الممثلات موفق وجيهة,0
اسلوبو سليس ويدخلاك المعلومة ويخلاك الشيوخ الاسلوب وانشاله يغفرلنا الشهر الكريم,0
اسماعيل لشار,1
اسمت امسط,1
اسمر,1
اسمعتو الاهذاعة,0
اسمو الماصطة,1
اسمو جسموا مبروكهو صبري البرنس,0
اسمو زكريا بوقر وحكى بصيفتو سجين مدون,0
اسمو طاهر,1
اسمي ابراهيم,0
اسوء شفنها طريقة,1
اسوعذاب,1
اسئلت,1
اسئلت نصح الاسئل,1
اسئلتك ماتعرش تحاور الضيف الاسئلة بالباهى,1
آش حفرتك,1
اشار رباني عيادي,0
اشاع,1
اشاله يهلكهم,1
اشاهد الاهذاعة وكهذالك احسنت,0
اشاهد لغيره فهو الاذاعة وكذالك احسنت,0
اشبعو صتايك,1
اشبينا انغلوض نحنا عشنا اولادنا حلول وقائية ااسف,0
اشبيه ماسط هاكا لشكيب نهضاوي يسالش لعماري اشبيه,1
اشبيه معايا ماسط,1
اشت ساقو اظنك,1
اشتدي ازمة تنفرجي,0
اشد,0
اشد خطورة اشد الرءتان تصوروا اموت مخنوق,0
اشدو جونة وسيكارو مبروم وعبد كيما ومتحيل وقمارجي وتونس وميكلمو حدقلو المليار,1
اشدو ديارهم تنقص الحركة الازدحام اقسم لعطار لعشية نلقاه,0
اشفي,0
اشفي المريضين,0
اشفي مرظ والمسلمات مرظ العالمين,0
اشك اسلامه انه يهوهدي متطرف,1
اشك رجولته,1
اشكال,1
اشكال موبنة درجة,1
اشكرك مورو تجسد الاخلاق بداخلنا الاحساس شرفاء,0
اشما,1
اشمادخل عبير ماعملت السرقة,0
اشنكرهو ماسط,1
اشهد امرءة ومحترمة ومتربية تبندير حقيقة المجلس التاسيسي الاظافة غدر بحماة,0
اشهد امرءة ومحترمة ومتربية وهذاليس تبندير حقيقة المجلس التاسيسي الاظافة غدر بحماة,0
اشوفك اقطع,1
اشوية نفخان,1
اشيا,1
اشيخ,1
اصابة مؤكدة بفيروس,0
اصابة مؤكدة بفيروس الصومال,0
اصالة,0
اصالة يباركله,0
اصبحت,1
اصبحت والامة ترضا اليهود والنصارى تتبع ملثهم تقولش تقيم اسرائيل يوجد,1
اصبحت والامة ترضا اليهود والنصارى ملثهم تقولش تقيم اسرائيل يوجد,0
اصح القحبة الميبون,1
اصحابك اخطى مبروكة الشكاره,1
اصحة وطول العمر,0
اصدرولنا,0
اصدقا ساكتف يات,1
اصدقا لاشكا,1
اصدقائ,1
اصدقائي,0
اصدقك امورك استعجب,0
اصدقوا الهي,0
اصفار,1
اصلع تاخو مايخليش فضيحة,1
اصلك تطورت امامي لقرد ولااتعجب قنبلة شواذ دابة انسانية وحقوق,1
اصلك ماينكر اصلوا جماعتوا ماتلعبهاش تبكي الجهويات يشعلها اقرى الستاتي البارودي تفهم المعنى متاعها تفهمها فكرك الجانب البهيمي يتغلب عقلك,1
اصلك وامثالك يزلزل العرش,1
اصلو تحطهم فالحجر,0
اصيب,1
اصيل,1
اصيل بالرغم نحيك,0
اصيل بالرغم نحييك برافوووووو,0
اضاف,1
اضافة,1
اضحكو حضرو لمجاعة,0
اضع,1
اضعف الايمان معني,0
اضعف شخصية,1
اضم ماسطين,1
اضمر ماسطين,1
اضمن,1
اطار محاربة,0
اطار وشب عاملات,0
اطارات وزارة اتحدث,0
اطفوه اطفوه يبركلهم لعنت الاسفل,1
اطلا تاجي,1
اطلقو,1
اطول,0
اطيب رايت يحبوكهو نحبكهو واش تقدم افعال علبالي ايكيب نوراك الهي اكمل طريقكهو لقى يعلق يحضن,0
اطيب رايته يحبوك نحبك واش تقدم افعال علبالي ايكيب نوراك الواجهه اكمل طريقك لقى يعلق ااااه يحضن رجلها,0
اطيح,1
اطيح تفووووووه,1
اعادة,1
اعادة الهيل الهيل اعوام تفجعو لاجاب لبيع لبيع لبيع مؤسة لاولا الهجو لتداي اساس الاسعار الاجور الاقتصادين ياد لحلق اضرابا اوضا جيران اساسا,1
اعانك,0
اعانك الوعود تاتي الخروج باقل تكلفة رغم الضعيفة فعليكم التنسيق وزارة الشؤون الاجتماعية لمنع الخروج اعانكم,0
اعانك تستمع الهي ابواق الدمار,0
اعانك وانش,0
اعانكم فحملكم,0
اعاود,1
اعاونكهوربي المصاعب,0
اعة سبابة فقرها,1
اعتبار,1
اعتقادي وزارة الدقيقة مقاومة الكورونة احداث خطة كاتب وكذلك لوزارة والشؤون الاجتماعية,0
اعتقد عدبطاقة التعريف ضروري,0
اعجاب القامط,1
اعجبتنا التمثيل,0
اعجبتني,0
اعجبتنيش,1
اعجبني العمري وتسريحات لحبيب,0
اعجبني جمالك ولوانك,0
اعجبني جمالكهولوانك,0
اعرفك عرفتك,0
اعرفك عرفتك تشدها,0
اعز احلى برافوا,0
اعز الروب فتوق جريئة,0
اعز المثلين,0
اعز بيروم يعتي,0
اعز بيروم يعتيه محلاه,0
اعز صافي,0
اعز هنتلهة عرفها,1
اعز وااااحد,0
اعزلو لمدة توضاح الامور,0
اعصاب,1
اعطس المرفق,0
اعطو لعود الخروج مسؤولية,0
اعطيكم نتاعكم,0
اعطينا اسامي الهي دخلتو,0
اعطينا اساميهم الهي دخلتو,0
اعطينا كرئيس حزب٩,0
اعطيه نيكا اعطته للمصري,1
اعظ,1
اعظ واخ,1
اعفو السراط المستقيم اكتفينا بافعالنا نبينا الصلاة,0
اعلاش فلميترو ولحافيلاة فلعباد رسبنابل شريكة انقل,0
اعلاش مزالو المانيا وايطاليا وفرنسا ملقاوش وتونس ايدوخ,0
اعﻻم,0
اعلامنا,1
اعلاميا ومفهمتش شبيه الجهل,1
اعلامية,1
اعلامية شيطانة ياربت اعلامية,1
اعلان حظر,0
اعلاه تركبولنا دمار اعلاه اوفاو المعلقين نحوهم رانا فديييييييييينا,1
اعلنوا,0
اعلها,1
اعلى المناصب القيادية ومقبول,0
اعليكم اعلينا,0
اعماركم طحانة,1
اعمالكم صحة ابدانكم,0
اعمالكهوصحتك,0
اعمالكهوصحتك مستحقة لوطنين اثبت,0
اعملتوا السراق اعلان,0
اعملواو,0
اعملول وافلام لصغار والكبار لتحميس,0
اعوانك,1
اعوذو,1
اعور,1
اعور وطاح بفولة مسوسة,1
اعونك احملك الاصابات الجديدة القادمين المسافرين القادمين عازل,0
اعي ماسطة,1
اعيدو لاسواق الجملة,0
اعيدو لتجار الغهذائية بالجملة,0
اعينكهويحفضك,0
اعينكهوينصرك,0
اعينو,0
اغاني سماح,0
اغانيكهونحترموا لاعتزالك الغنى,0
اغرائي,1
اغرب الخيال تهو تقولش الحليم زمانو مايستاهلش اكون نقيب,1
اغفر,0
اغفر وارحم واسكن فسيح جناتك,0
اغفر وارحمها واسكنها فسيح جناتك,0
اغلاق المطارات,0
اغلاق تام لمطار سمحتم والحدود الترابية,0
اغلاق مستبق قلناش بشكل فجئي تستثني الهي المشكلة مشكلة توقيت القرارات المتخذة,0
اغلبهم فرش لفرش كوارجي طمع,1
اغلبية لتي يزيو تزكيم عالاقل تستاو عبث شح الموارد انعدام الاحترافية,0
اغلبية مستوردة والرحلات متواصلة رحمتك,0
اغلبية يزيو تزكيم عالاقل تستاو عبث شح الموارد انعدام الاحترافية,0
اغلقتو والفيديو المسرب لسفير محناش مكذبينكم حقائق تخلينا شاكين,0
اغلقوا النوافذ والغاء الرحلات وبلجيكيا وايطاليا تاو ينقطغ بخلاف حكاية,0
اغلقوا ائيا النوافذ والغاء الرحلات وبلجيكيا وايطاليا تاو ينقطغ بخلاف حكاية,0
اغنى اغنياء,0
اغنية معدب اغنية ليوسف العماني اغنية,1
افات,0
افادتنا علخر عرفنا تخذنا,0
افتخر الفتاح,0
افحمتنا الاصيل رده الرذالة وانحطاة الاخلاق ينشروها اجيال لتونسنا العزيزة,0
افرج,0
افرحك ببناتك,0
افرضو,0
افسد,0
افسد بتدخلاتك التافهة تدل ضعفك,1
افشل لاعدل قضيه,1
افضح الهي قاعدين يحاربوا فيكهواذكر بالاسم,0
افضحتها بوس تعنيق عذب افضحتها بالتصاور,1
افظل واشرف هالوقح الرهط المدعو الجويني,1
افعل ضروري بالتوفيق الفريق,0
افعل ضروري بالتوفيق لكهو الفريق,0
افففففف,1
افففففففففففف,1
افقر,0
افهم,0
افهمو قرودة يغسلوهم بالجفال لاينظافو المسخين الخماج بوليس يبزق ويتجنبو متراهمش القهاوي الشرفاء الامنين محبوبين متراهمش اشتباكات ومتراهش الكياس يخدموهم الادارة والهمل العوق تراهم ملين,1
افهموا ارواحكم واقلبوا اوجوهكم,1
افهمونا ماسط,1
اقبح سيلفي شفته,1
اقتراح انتشار,0
اقتراح همية انتشار,0
اقتلي,1
اقحبة,1
اقدر بامة النبي البشير صلى,0
اقدر مثلة عربية,0
اقدر ممثلة عربية,0
